logid,ns,title,pageid,logpage,params,type,action,user,timestamp,comment
101646153,-1,Special:AbuseFilter/51,0,0,"{'historyId': 22277, 'newId': '51'}",abusefilter,modify,Oshwah,2019-09-01T11:04:26Z,
101647860,-1,Special:AbuseFilter/793,0,0,"{'historyId': 22278, 'newId': '793'}",abusefilter,modify,Kuru,2019-09-01T13:13:45Z,
101648489,-1,Special:AbuseFilter/51,0,0,"{'historyId': 22279, 'newId': '51'}",abusefilter,modify,Oshwah,2019-09-01T13:52:38Z,
101649134,-1,Special:AbuseFilter/51,0,0,"{'historyId': 22280, 'newId': '51'}",abusefilter,modify,Oshwah,2019-09-01T14:33:38Z,
101653873,-1,Special:AbuseFilter/891,0,0,"{'historyId': 22281, 'newId': '891'}",abusefilter,modify,JzG,2019-09-01T19:00:17Z,
101667125,-1,Special:AbuseFilter/51,0,0,"{'historyId': 22282, 'newId': '51'}",abusefilter,modify,Oshwah,2019-09-02T06:23:26Z,
101673230,-1,Special:AbuseFilter/1003,0,0,"{'historyId': 22283, 'newId': 1003}",abusefilter,create,JzG,2019-09-02T13:49:08Z,
101673412,-1,Special:AbuseFilter/894,0,0,"{'historyId': 22284, 'newId': '894'}",abusefilter,modify,JzG,2019-09-02T14:01:20Z,
101673417,-1,Special:AbuseFilter/894,0,0,"{'historyId': 22285, 'newId': '894'}",abusefilter,modify,JzG,2019-09-02T14:01:47Z,
101673429,-1,Special:AbuseFilter/1003,0,0,"{'historyId': 22286, 'newId': '1003'}",abusefilter,modify,JzG,2019-09-02T14:02:27Z,
101673598,-1,Special:AbuseFilter/1003,0,0,"{'historyId': 22287, 'newId': '1003'}",abusefilter,modify,JzG,2019-09-02T14:11:39Z,
101675574,-1,Special:AbuseFilter/871,0,0,"{'historyId': 22288, 'newId': '871'}",abusefilter,modify,Crow,2019-09-02T15:58:24Z,
101676088,-1,Special:AbuseFilter/891,0,0,"{'historyId': 22289, 'newId': '891'}",abusefilter,modify,Crow,2019-09-02T16:22:15Z,
101730283,-1,Special:AbuseFilter/861,0,0,"{'historyId': 22290, 'newId': '861'}",abusefilter,modify,Crow,2019-09-04T14:15:12Z,
101732080,-1,Special:AbuseFilter/793,0,0,"{'historyId': 22291, 'newId': '793'}",abusefilter,modify,Kuru,2019-09-04T15:54:44Z,
101733983,-1,Special:AbuseFilter/906,0,0,"{'historyId': 22292, 'newId': '906'}",abusefilter,modify,Crow,2019-09-04T17:33:01Z,
