,month_year,n_admin_all,n_admin_ip,n_admin_bot,n_admin_user,n_admin_all_block,n_admin_ip_block,n_admin_bot_block,n_admin_user_block,n_admin_all_unblock,n_admin_ip_unblock,n_admin_bot_unblock,n_admin_user_unblock
0,2004-12,76,0,0,76,70,0,0,70,37,0,0,37
1,2005-01,123,0,0,123,114,0,0,114,61,0,0,61
2,2005-02,131,0,0,131,124,0,0,124,47,0,0,47
3,2005-03,164,0,0,164,154,0,0,154,57,0,0,57
4,2005-04,167,0,0,167,162,0,0,162,67,0,0,67
5,2005-05,98,0,0,98,94,0,0,94,17,0,0,17
6,2005-06,192,0,0,192,185,0,0,185,81,0,0,81
7,2005-07,201,0,0,201,195,0,0,195,89,0,0,89
8,2005-08,226,0,0,226,222,0,0,222,98,0,0,98
9,2005-09,247,0,0,247,240,0,0,240,114,0,0,114
10,2005-10,284,0,0,284,275,0,0,275,124,0,0,124
11,2005-11,328,0,0,328,313,0,0,313,144,0,0,144
12,2005-12,389,0,0,389,378,0,0,378,184,0,0,184
13,2006-01,406,0,0,406,400,0,0,400,200,0,0,200
14,2006-02,424,0,0,424,410,0,0,410,211,0,0,211
15,2006-03,444,0,0,444,433,0,0,433,221,0,0,221
16,2006-04,423,0,0,423,410,0,0,410,221,0,0,221
17,2006-05,470,0,0,470,457,0,0,457,240,0,0,240
18,2006-06,455,0,0,455,439,0,0,439,245,0,0,245
19,2006-07,439,0,0,439,428,0,0,428,212,0,0,212
20,2006-08,445,0,0,445,434,0,0,434,238,0,0,238
21,2006-09,460,0,0,460,454,0,0,454,231,0,0,231
22,2006-10,478,0,0,478,473,0,0,473,223,0,0,223
23,2006-11,496,0,0,496,491,0,0,491,233,0,0,233
24,2006-12,484,0,0,484,476,0,0,476,217,0,0,217
25,2007-01,493,0,0,493,485,0,0,485,239,0,0,239
26,2007-02,533,0,0,533,528,0,0,528,247,0,0,247
27,2007-03,568,0,0,568,564,0,0,564,260,0,0,260
28,2007-04,531,0,0,531,528,0,0,528,246,0,0,246
29,2007-05,574,0,0,574,569,0,0,569,280,0,0,280
30,2007-06,522,0,0,522,515,0,0,515,238,0,0,238
31,2007-07,515,0,0,515,505,0,0,505,238,0,0,238
32,2007-08,496,0,0,496,488,0,0,488,216,0,0,216
33,2007-09,531,0,0,531,528,0,0,528,234,0,0,234
34,2007-10,570,0,0,570,563,0,0,563,256,0,0,256
