,month_year,n_log_all,n_log_editor_ip,n_log_editor_bot,n_log_editor_user,n_log_admin_ip,n_log_admin_bot,n_log_admin_user,n_log_all_block,n_log_editor_ip_block,n_log_editor_bot_block,n_log_editor_user_block,n_log_admin_ip_block,n_log_admin_bot_block,n_log_admin_user_block,n_log_all_unblock,n_log_editor_ip_unblock,n_log_editor_bot_unblock,n_log_editor_user_unblock,n_log_admin_ip_unblock,n_log_admin_bot_unblock,n_log_admin_user_unblock
0,2004-12,828,533,0,295,0,0,828,369,288,0,81,0,0,369,459,245,0,214,0,0,459
1,2005-01,1896,1267,0,629,0,0,1896,1299,993,0,306,0,0,1299,597,274,0,323,0,0,597
2,2005-02,2052,1442,0,610,0,0,2052,1547,1093,0,454,0,0,1547,505,349,0,156,0,0,505
3,2005-03,1629,882,0,747,0,0,1629,1379,819,0,560,0,0,1379,250,63,0,187,0,0,250
4,2005-04,1958,1174,0,784,0,0,1958,1758,1097,0,661,0,0,1758,200,77,0,123,0,0,200
5,2005-05,2221,316,0,1905,0,0,2221,451,308,0,143,0,0,451,44,8,0,36,0,0,44
6,2005-06,2393,1592,0,801,0,0,2393,2097,1425,0,672,0,0,2097,296,167,0,129,0,0,296
7,2005-07,2553,1592,0,961,0,0,2553,2292,1500,0,792,0,0,2292,261,92,0,169,0,0,261
8,2005-08,5900,3583,0,2317,0,0,5900,5379,3362,0,2017,0,0,5379,521,221,0,300,0,0,521
9,2005-09,4357,2681,0,1676,0,0,4357,3835,2431,0,1404,0,0,3835,522,250,0,272,0,0,522
10,2005-10,13394,7793,0,5601,0,0,13394,9609,4474,0,5135,0,0,9609,3785,3319,0,466,0,0,3785
11,2005-11,10379,6715,0,3664,0,0,10379,9653,6420,0,3233,0,0,9653,726,295,0,431,0,0,726
12,2005-12,11880,6659,2,5219,0,0,11880,10562,6300,1,4261,0,0,10562,1318,359,1,958,0,0,1318
13,2006-01,13968,7379,3,6586,0,0,13968,12562,6933,2,5627,0,0,12562,1406,446,1,959,0,0,1406
14,2006-02,18117,10720,0,7397,0,0,18117,15858,9810,0,6048,0,0,15858,2259,910,0,1349,0,0,2259
15,2006-03,19877,11149,0,8728,0,0,19877,17575,10343,0,7232,0,0,17575,2302,806,0,1496,0,0,2302
16,2006-04,19957,12229,0,7728,0,0,19957,17921,11585,0,6336,0,0,17921,2036,644,0,1392,0,0,2036
