,month_year,n_queries_all,n_queries_editor_ip,n_queries_editor_bot,n_queries_editor_user,n_queries_admin_ip,n_queries_admin_bot,n_queries_admin_user,n_queries_global,n_queries_pagespecific,n_queries_all_block,n_queries_editor_ip_block,n_queries_editor_bot_block,n_queries_editor_user_block,n_queries_admin_ip_block,n_queries_admin_bot_block,n_queries_admin_user_block,n_queries_global_block,n_queries_pagespecific_block,n_queries_all_unblock,n_queries_editor_ip_unblock,n_queries_editor_bot_unblock,n_queries_editor_user_unblock,n_queries_admin_ip_unblock,n_queries_admin_bot_unblock,n_queries_admin_user_unblock,n_queries_global_unblock,n_queries_pagespecific_unblock
0,2004-12,828,533,0,295,0,0,828,748,80,369,288,0,81,0,0,369,322,47,459,245,0,214,0,0,459,426,33
1,2005-01,1896,1267,0,629,0,0,1896,1623,273,1299,993,0,306,0,0,1299,1092,207,597,274,0,323,0,0,597,531,66
2,2005-02,2052,1442,0,610,0,0,2052,1773,279,1547,1093,0,454,0,0,1547,1309,238,505,349,0,156,0,0,505,464,41
3,2005-03,1629,882,0,747,0,0,1629,1280,349,1379,819,0,560,0,0,1379,1095,284,250,63,0,187,0,0,250,185,65
4,2005-04,1958,1174,0,784,0,0,1958,1601,357,1758,1097,0,661,0,0,1758,1444,314,200,77,0,123,0,0,200,157,43
5,2005-05,2221,316,0,1905,0,0,2221,443,1778,451,308,0,143,0,0,451,407,44,44,8,0,36,0,0,44,36,8
6,2005-06,2393,1592,0,801,0,0,2393,2092,301,2097,1425,0,672,0,0,2097,1834,263,296,167,0,129,0,0,296,258,38
7,2005-07,2553,1592,0,961,0,0,2553,2111,442,2292,1500,0,792,0,0,2292,1917,375,261,92,0,169,0,0,261,194,67
8,2005-08,5900,3583,0,2317,0,0,5900,5174,726,5379,3362,0,2017,0,0,5379,4749,630,521,221,0,300,0,0,521,425,96
9,2005-09,4357,2681,0,1676,0,0,4357,3766,591,3835,2431,0,1404,0,0,3835,3345,490,522,250,0,272,0,0,522,421,101
10,2005-10,13394,7793,0,5601,0,0,13394,12528,866,9609,4474,0,5135,0,0,9609,8865,744,3785,3319,0,466,0,0,3785,3663,122
11,2005-11,10379,6715,0,3664,0,0,10379,9275,1104,9653,6420,0,3233,0,0,9653,8685,968,726,295,0,431,0,0,726,590,136
12,2005-12,11880,6659,2,5219,0,0,11880,10638,1242,10562,6300,1,4261,0,0,10562,9521,1041,1318,359,1,958,0,0,1318,1117,201
13,2006-01,13968,7379,3,6586,0,0,13968,12276,1692,12562,6933,2,5627,0,0,12562,11117,1445,1406,446,1,959,0,0,1406,1159,247
14,2006-02,18117,10720,0,7397,0,0,18117,16703,1414,15858,9810,0,6048,0,0,15858,14650,1208,2259,910,0,1349,0,0,2259,2053,206
15,2006-03,19877,11149,0,8728,0,0,19877,17965,1912,17575,10343,0,7232,0,0,17575,15982,1593,2302,806,0,1496,0,0,2302,1983,319
16,2006-04,19957,12229,0,7728,0,0,19957,18038,1919,17921,11585,0,6336,0,0,17921,16276,1645,2036,644,0,1392,0,0,2036,1762,274
17,2006-05,23520,13150,0,10370,0,0,23520,21562,1958,19483,12462,0,7021,0,0,19483,17823,1660,4037,688,0,3349,0,0,4037,3739,298
18,2006-06,19184,8918,2,10264,0,0,19184,16802,2382,15147,8231,1,6915,0,0,15147,13120,2027,4037,687,1,3349,0,0,4037,3682,355
