,month_year,n_block_all,n_block_ip,n_block_bot,n_block_user,n_unblock_all,n_unblock_ip,n_unblock_bot,n_unblock_user
0,2004-12,318,256,0,62,426,224,0,202
1,2005-01,962,759,0,203,534,247,0,287
2,2005-02,1216,915,0,301,336,189,0,147
3,2005-03,1032,656,0,376,217,58,0,159
4,2005-04,1332,851,0,481,174,62,0,112
5,2005-05,384,273,0,111,38,7,0,31
6,2005-06,1590,1101,0,489,257,145,0,112
7,2005-07,1775,1164,0,611,245,83,0,162
8,2005-08,4207,2600,0,1607,439,192,0,247
9,2005-09,2949,1897,0,1052,467,221,0,246
10,2005-10,7078,3596,0,3482,2455,2023,0,432
11,2005-11,7760,5172,0,2588,641,248,0,393
12,2005-12,7839,4742,1,3096,1175,293,1,881
13,2006-01,9117,4814,1,4302,1213,357,1,855
14,2006-02,11378,6868,0,4510,2008,793,0,1215
15,2006-03,12244,7041,0,5203,2057,700,0,1357
16,2006-04,14256,9189,0,5067,1843,554,0,1289
17,2006-05,14482,8873,0,5609,3667,564,0,3103
18,2006-06,11389,5772,1,5616,3554,505,1,3048
19,2006-07,11534,4453,0,7081,1866,363,0,1503
20,2006-08,13988,4788,1,9199,2447,391,0,2056
21,2006-09,15889,7107,1,8781,1697,442,1,1254
22,2006-10,18221,9723,1,8497,1926,797,1,1128
23,2006-11,18950,9735,1,9214,1432,588,1,843
24,2006-12,15400,7729,2,7669,1139,482,1,656
25,2007-01,18316,9692,1,8623,1116,438,2,676
26,2007-02,19724,10064,2,9658,1257,519,2,736
27,2007-03,21702,11341,2,10359,1295,582,2,711
28,2007-04,19602,10376,3,9223,1249,517,3,729
29,2007-05,26070,16895,2,9173,1436,617,2,817
30,2007-06,15854,8673,0,7181,1243,630,0,613
31,2007-07,12808,6363,2,6443,772,290,1,481
32,2007-08,15096,8936,2,6158,847,376,1,470
33,2007-09,20539,13697,1,6841,943,414,0,529
34,2007-10,18500,10611,2,7887,1031,393,2,636
35,2007-11,17503,9503,2,7998,971,382,2,587
36,2007-12,13872,7483,0,6389,685,292,0,393
37,2008-01,17465,9916,2,7547,1288,766,1,521
