,month_year,n_editor_all,n_editor_ip,n_editor_bot,n_editor_user,n_editor_all_block,n_editor_ip_block,n_editor_bot_block,n_editor_user_block,n_editor_all_unblock,n_editor_ip_unblock,n_editor_bot_unblock,n_editor_user_unblock
0,2004-12,519,287,0,232,318,256,0,62,426,224,0,202
1,2005-01,1256,826,0,430,962,759,0,203,534,247,0,287
2,2005-02,1306,919,0,387,1216,915,0,301,336,189,0,147
3,2005-03,1118,663,0,455,1032,656,0,376,217,58,0,159
4,2005-04,1393,855,0,538,1332,851,0,481,174,62,0,112
5,2005-05,2127,273,0,1854,384,273,0,111,38,7,0,31
6,2005-06,1693,1140,0,553,1590,1101,0,489,257,145,0,112
7,2005-07,1854,1168,0,686,1775,1164,0,611,245,83,0,162
8,2005-08,4372,2615,0,1757,4207,2600,0,1607,439,192,0,247
9,2005-09,3204,2014,0,1190,2949,1897,0,1052,467,221,0,246
10,2005-10,7888,4262,0,3626,7078,3596,0,3482,2455,2023,0,432
11,2005-11,8013,5182,0,2831,7760,5172,0,2588,641,248,0,393
12,2005-12,8415,4765,1,3649,7839,4742,1,3096,1175,293,1,881
13,2006-01,9713,4854,1,4858,9117,4814,1,4302,1213,357,1,855
14,2006-02,12342,6915,0,5427,11378,6868,0,4510,2008,793,0,1215
15,2006-03,13232,7082,0,6150,12244,7041,0,5203,2057,700,0,1357
16,2006-04,15361,9303,0,6058,14256,9189,0,5067,1843,554,0,1289
17,2006-05,17365,8974,0,8391,14482,8873,0,5609,3667,564,0,3103
18,2006-06,14225,5890,1,8334,11389,5772,1,5616,3554,505,1,3048
19,2006-07,12743,4497,0,8246,11534,4453,0,7081,1866,363,0,1503
20,2006-08,15695,4839,1,10855,13988,4788,1,9199,2447,391,0,2056
21,2006-09,16809,7171,1,9637,15889,7107,1,8781,1697,442,1,1254
22,2006-10,19037,9865,1,9171,18221,9723,1,8497,1926,797,1,1128
23,2006-11,19407,9843,1,9563,18950,9735,1,9214,1432,588,1,843
24,2006-12,15730,7804,2,7924,15400,7729,2,7669,1139,482,1,656
25,2007-01,18631,9726,2,8903,18316,9692,1,8623,1116,438,2,676
26,2007-02,19994,10102,2,9890,19724,10064,2,9658,1257,519,2,736
27,2007-03,21976,11407,2,10567,21702,11341,2,10359,1295,582,2,711
28,2007-04,19907,10452,3,9452,19602,10376,3,9223,1249,517,3,729
29,2007-05,26377,16980,2,9395,26070,16895,2,9173,1436,617,2,817
30,2007-06,16085,8754,0,7331,15854,8673,0,7181,1243,630,0,613
31,2007-07,12982,6403,2,6577,12808,6363,2,6443,772,290,1,481
32,2007-08,15261,8977,2,6282,15096,8936,2,6158,847,376,1,470
33,2007-09,20721,13776,1,6944,20539,13697,1,6841,943,414,0,529
34,2007-10,18733,10682,2,8049,18500,10611,2,7887,1031,393,2,636
35,2007-11,17742,9604,2,8136,17503,9503,2,7998,971,382,2,587
36,2007-12,14000,7522,0,6478,13872,7483,0,6389,685,292,0,393
37,2008-01,18034,10367,2,7665,17465,9916,2,7547,1288,766,1,521
38,2008-02,19379,11361,1,8017,17714,9820,1,7893,2463,1859,1,603
39,2008-03,18561,9453,2,9106,18395,9412,2,8981,940,350,0,590
40,2008-04,20321,11940,1,8380,20168,11905,1,8262,911,371,1,539
41,2008-05,19420,10407,1,9012,19226,10321,1,8904,904,353,0,551
42,2008-06,12593,6434,3,6156,12439,6386,3,6050,782,353,3,426
43,2008-07,16167,8765,1,7401,13720,6437,1,7282,6105,4371,1,1733
44,2008-08,12632,6230,2,6400,12411,6161,1,6249,901,359,2,540
45,2008-09,16552,9071,3,7478,16345,9033,3,7309,885,342,2,541
46,2008-10,18213,9974,3,8236,18060,9940,2,8118,1013,365,3,645
47,2008-11,15707,7825,3,7879,15413,7637,3,7773,785,427,3,355
48,2008-12,15138,9208,3,5927,14851,9017,3,5831,542,284,2,256
49,2009-01,19891,12073,3,7815,19660,11955,3,7702,438,162,3,273
50,2009-02,24187,14740,2,9445,23986,14662,1,9323,1946,122,2,1822
51,2009-03,23832,15498,4,8330,23540,15325,4,8211,552,242,4,306
52,2009-04,30050,22776,1,7273,29952,22763,1,7188,278,43,1,234
53,2009-05,27454,20430,6,7018,27109,20238,5,6866,590,251,6,333
54,2009-06,26749,18567,1,8181,26605,18530,1,8074,319,75,0,244
55,2009-07,13196,5625,2,7569,13004,5553,1,7450,367,100,2,265
56,2009-08,11295,4581,1,6713,11141,4543,1,6597,333,73,1,259
57,2009-09,12439,5866,0,6573,12146,5693,0,6453,441,206,0,235
58,2009-10,25742,19140,1,6601,25595,19085,0,6510,346,125,1,220
59,2009-11,21165,15089,2,6074,21030,15056,1,5973,297,79,2,216
60,2009-12,23450,17212,3,6235,23316,17190,3,6123,305,58,3,244
61,2010-01,27095,20545,1,6549,26972,20524,1,6447,267,51,0,216
62,2010-02,24655,17727,3,6925,24366,17526,2,6838,446,243,3,200
